# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
6750 1.03818 -1.2897 0.892018
6760 1.02682 -1.30569 0.8295
6770 0.95695 -1.30288 0.812437
6780 0.974036 -1.29609 0.848001
6790 0.968634 -1.3274 0.741
6800 0.960351 -1.3136 0.77691
6810 0.946598 -1.29702 0.843217
6820 0.980653 -1.30683 0.84533
6830 0.991068 -1.31521 0.831959
6840 0.974431 -1.312 0.844932
6850 1.00333 -1.31206 0.831483
6860 0.994453 -1.31731 0.797269
6870 1.0401 -1.34122 0.73218
6880 0.971786 -1.32573 0.759455
6890 1.01727 -1.33853 0.763577
6900 1.01175 -1.33119 0.800357
6910 1.01985 -1.32514 0.835423
6920 1.00391 -1.315 0.884688
6930 1.00487 -1.30888 0.914948
6940 1.03364 -1.32905 0.863669
6950 1.03286 -1.31461 0.903548
6960 1.0237 -1.32274 0.882904
6970 1.03677 -1.32275 0.892421
6980 0.990935 -1.29775 0.952674
6990 1.01549 -1.33638 0.821722
7000 0.994134 -1.32642 0.828479
7010 0.982173 -1.32465 0.821703
7020 1.04462 -1.32466 0.839744
7030 1.03625 -1.31962 0.853235
7040 1.03672 -1.33504 0.798561
7050 1.04524 -1.31972 0.86863
7060 1.00889 -1.33168 0.812413
7070 1.01926 -1.33429 0.798264
7080 1.0393 -1.32444 0.82999
7090 0.973283 -1.30597 0.849805
7100 1.00426 -1.34346 0.75598
7110 0.945346 -1.33488 0.772019
7120 0.966988 -1.3541 0.709596
7130 0.975444 -1.35542 0.707912
7140 1.00628 -1.35478 0.741625
7150 1.01074 -1.32807 0.830053
7160 1.00588 -1.32177 0.823302
7170 0.986082 -1.3213 0.801005
7180 1.01206 -1.31238 0.8468
7190 1.04314 -1.33053 0.821616
7200 1.00429 -1.3077 0.889878
7210 1.01044 -1.32742 0.835245
7220 0.983767 -1.31873 0.853432
7230 1.01596 -1.32631 0.829743
7240 1.00743 -1.34321 0.777074
7250 0.972896 -1.33501 0.808014
7260 0.968029 -1.34055 0.787392
7270 0.973471 -1.35527 0.733761
7280 0.988458 -1.33199 0.824591
7290 1.01346 -1.35976 0.754588
7300 1.00738 -1.35366 0.785494
7310 1.00875 -1.37026 0.75151
7320 0.978937 -1.33224 0.890948
7330 0.99144 -1.32904 0.895019
7340 1.03544 -1.35146 0.814609
7350 0.964118 -1.35244 0.76915
7360 0.961625 -1.33885 0.79123
7370 0.998278 -1.33265 0.803852
7380 0.978663 -1.3306 0.79923
